name,rating,text,duration
Qunisha Roberson, 5 stars ,"I went to Ramsay kitchen in Las Vegas during spring break 2023. As a big fan of chief Ramsey I had to go to one of his many restaurants, Ramsey kitchen is new and available seating.  I had the 3 course meal special and it was delicious and it was a great way to trying Chief Ramsey signature dishes. The Cesar salad was great potion size and the Toffee dessert. The beef wellington was so good I wished I had more. The staff are wonderful and really great with my three boys. Overall a great experience.",7 hours ago
Ahmad Ahmadian, 2 stars ,"I recently visited this place in Las Vegas that offered Gordon Ramsey's recipes, and unfortunately, my experience fell short of my expectations.

I started with the onion soup, which was disappointing due to the uncured meat taste. It had an odd flavor that detracted from the dish. Moreover, I was taken aback to find meat in the soup, which was unexpected and not something I had encountered in onion soup before.

For my main course, I ordered the chicken breasts, which were unfortunately undercooked and lacking in flavor. They were bland and lacking in seasoning, and the undercooked chicken was a major letdown. The flatbreads pork belly was an additional extra, and it was decent but not extraordinary.

On the plus side, the service and vibe were professional, and the waiters were friendly and accommodating. However, the quality of the food fell short of what I had hoped for.

Overall, while I had high expectations for this kitchen that offers Gordon Ramsey's recipes, my experience was unfortunately disappointing. The undercooked and bland chicken breasts and the uncured meat taste of the onion soup left much to be desired. While the service and vibe were pleasant, I cannot wholeheartedly recommend this restaurant based on my experience.",2 days ago
Helene K, 5 stars ,"Located in Harrahs and beautifully decorated restaurant. Absolutely lovely interior and ambiance.  Sat in the back near the kitchen.

Food: Highly recommend the Boston's Inferno cocktail.  Was smoked infused and absolutely smooth going down. Legitimately the best bourbon drink I've had to date. Friend had the spiced pear which is just fun. Recommend that one too.

We tried an assortment of appetizers.
Crab cake
Tuna Tartare
Shrimp Cocktail
French Onion Soup

Enjoyed the Tuna Tartare the best, next to the shrimp cocktail.

I had the scallops and my friends had the beef Wellington. Scallops were cooked perfectly. Would recommend, if not having the red meat options. Dessert was the English Toffee Pudding which wasn't as sweet as it sounds which was lovely but the Eton mess was a bit more delicious.

Service was immaculate.  All the servers were so nice and very accommodating and we shut the place down and didn't feel rushed or like we were being a nuisance for eating later. They genuinely were all kind and just great at their jobs.

Would highly recommend the restaurant and all the staff. Looking forward to my next visit and another Boston's Inferno. 😊",2 days ago
Emily HR, 5 stars ,Stopped in for lunch the day day after our amazing dinner. It was quiet and we sat right in front of the service line. An amazing experience. Lobster roll was wonderful and perfect portion for midday. The staff was very friendly and gleefully divulged the famous name sakes impromptu appearances. It will definitely be a repeat dining venue!,6 days ago
Megan Martin, 5 stars ,"My first Gordon Ramsay restraunt experience and hands down I was BLOWN AWAY! My mom and I split the ""lump crab cake"" and the ""filet mignon"". The crab cake was divine, no fillers just all straight crab meat! It was tender, fell apart when cutting a piece with a fork and has now taken spot as my #1 Crab Cake EVER! The filet was cooked to perfection, tender, juicy and melted in my mouth like butter! Beautiful execution and presentation overall! I will ABSOLUTLEY be back and I can't wait to try more of the menu! The service was also impeccable!",a week ago
Enrique Montaño, 4 stars ,"After the disappointment of the hamburgers we decided to give another chance to the restaurants of the famous Chef that we found by chance looking for dinner. It is located inside the Harrah's Hotel and Casino.
We really liked the food here. The Caesar salad is large, it can be shared between 2 people.
The delicious salmon and the dessert, pudding, a delight. I just don't recommend the risotto, which is very simple and I've had much better in Mexico.",a week ago
Lori Kiefer, 5 stars ,The lobster roll is outstanding.  The atmosphere is gorgeous- art deco with copper.  Don’t walk by - walk in!,a week ago
Griffen Stapp, 5 stars ,"An amazing experience of delicious drinks and food that will leave you wanting more.
We found this place on the way out of Vegas, and had to try it mainly cause it had ramsays name on it!
We got there during lunch time and it was empty as it had just opened. They are even opening for breakfast soon which would be a delight.
The service was great, with only one other group they checked on us the entire time.
We ordered a couple drink recommendations and then moved onto the main courses. We even got a beef carpaccio appetizer.   The food was all modestly priced, and was delicious for every bite.
Highly recommend checking this place out on your neck trip to Vegas!
Their selection of food is delicious, hand picked for the day and restaurant season, and we’ll worth it!",a week ago
Viktoriya Ivanova, 5 stars ,Celebrating my birthday here was an absolute pleasure 🎂🎈,2 weeks ago
C C, 2 stars ,"Was so DISSAPOINTED !
Our waitress was wonderful, & the decor is beautiful, but the food was terrible.
My husband ordered the Beef Wellington, it was rare, and difficult to even chew.
The crust was soggy and the taste was bland.
The only thing we enjoyed was the toffee pudding.

The prices are rediculous for the quality of food they serve.",2 weeks ago
Dana Jones, 5 stars ,"We decided to stop and have dinner celebrating our 8th year wedding anniversary. We've been to Hell's kitchen in the past, we thought the food was really good, this new restaurant is just as good.  Excellent customer service. I can't wait to return.",2 weeks ago
Laurent Mazuel, 5 stars ,"Just go, this is wonderful. Not too noisy, our waiter was extra (ask for Jeff), the food was incredible. I tried the famous Beef Wellington, and this is something I can't compare to anything I even tested. Side note, this restaurant is part of the Caesar Reward if you have an account, present your card.",2 weeks ago
Sarah James, 1 star ,"Beautiful restaurant and the food was good but our overall experience was terrible. After calling to confirm it was the same menu as Hell’s Kitchen and waiting 30 minutes to be seated (with reservation), we were told there was no vegan options. We asked the manager what could be made vegan and he disappeared for 20 minutes and we had to ask again to be given an answer. The answer: asparagus and plain risotto.
Truly a real bummer given there’s a whole separate vegan/veg menu at Hell’s Kitchen. Also $30 for plain risotto? Hard pass.",2 weeks ago
Alexis Rivera, 5 stars ,"My husband and I dined at Ramsay's Kitchen at Harrah's in Las Vegas. We've been to Gordon Ramsay Burger and Gordon Ramsay Steak, and now here. To say the food and service was amazing is honestly an understatement. The staff was very attentive, respectful, friendly, and dressed 11 out of 10. Not once did our glasses go below half. When my steak wasn't medium well when I received it, the chef appeared out of nowhere, I swear! I assume he caught my slight facial expression when I realized the temp of the steak was off. He offered  for it to be redone, and I accepted. The waitress and her assistant had come to our table separately, asking if everything was okay. Then the Maître D' came to our table and said dessert was on them. I was definitely not worried about the steak, but they wanted to correct it anyway they could. I've never seen this type of service, and it was phenomenal. I do feel bad for the uproar with the staff since it obviously got to the Maître D'. :( I wish I could thank Gordon Ramsay personally for his exceptional standards at his restaurants. It's worth every penny each time we go. From the time we enter, to the time we leave, we're highly impressed. Thank you. ❤️",2 weeks ago
ardriekie barksdale, 5 stars ,"We came for our annual girls trip. John our server was awesome. Thank you for accommodating our group. Everything we ordered was great. Scallops, beef wellington, the sticky toffee pudding and even the water was awesome!",2 weeks ago
Rhonda Mitchell (Rhonda), 5 stars ,"Update: I was contacted by the manager Joe after our first experience at this restaurant. Our first experience wasn’t the best so Joe did an AMAZING job making it right! He remained professionally, understanding and accommodating. We arrived at the restaurant at 7PM for our reservation and was seated immediately inspite what seemed to be a busy and crowded night. We had great seating by the kitchen and I enjoyed watching the staff work. The kitchen staff seemed like a well oiled machine. They even had this thing where the called out the table numbers they were working on in harmony. Lol Maria our waitress was pleasant and personable. Our food was DELICIOUS. The only thing that could have topped this experience is if Ramsay himself showed up. Everything was perfect. Thanks again Joe for taking care of us and making our second experience the best one yet. I look forward to dining here again and I can’t wait to visit Hell’s Kitchen Chicago.",2 weeks ago
Jordan Black, 5 stars ,"What can I say aside from it's exceptional. Such a nice retreat form the hustle of the strip. Gordon and his team havereally outdone themselves. The Wellington definitely lives up to its reputation, the crab cake has to be one of the best I've ever had. Kelsey is such a gem of a server, and all the staff are some of the best in the industry. When the word gets out about this place, the reservation books will always be full! Thanks to everyone for such a wonderful dining experience. As a fellow restaurant industry member I'm pretty judgemental and not picky on small stuff. Not enough to complain, but enough to silently judge. I had absolutely nothing to nit pick. Truly a special place. It has the vibe of a stand alone restaurant in the fancy part of any city.",3 weeks ago
Veronika Hong, 5 stars ,The food and the experience were amazing! I highly recommend tuna tartar and crab cake!,3 weeks ago
Jennifer Boylan, 5 stars ,"This did not disappoint!    Brandon provided excellent service and made some great recommendations.    The crab cake was the best we have ever had, onion soup was to die for and don’t even get me started in the sticky toffee pudding!     This is a must and we will definitely be back.",3 weeks ago
Patrick Ptacek, 5 stars ,Amazing scallops and pork belly where one of the best dishes in a long time. Onion soup was crazy good with oxtail and the risotto squash was more than enough reason to come back.,3 weeks ago
Pim Kang, 4 stars ,"Great food at a high price. I highly recommend that you have a reservation before showing up at least on a weekend. We liked our food enough but not too impressed with the service. We waited more than half an hour to get our bill just to get a wrong bill. Then, we waited at least 15 more minutes to get the correct bill and then waited some more to pay. I understand that it was a long weekend and the staffs were busy but, at this price, they can afford more staff to streamline the experience.",3 weeks ago
Isaiah Shepard, 5 stars ,Amazing food and great staff! I would recommend stopping in! My wife and I had the Beef Wellington and Scallops and they did not disappoint! We also had the cheesecake and the sticky toffee pudding for dessert. We left full and happy!,3 weeks ago
Se-Young Jun, 5 stars ,"Had a beef wellington here and loved it. I had a beef wellington at Hell's Kitchen, and they were exactly the same dish, same flavor, same price. Ramsay's Kitchen at Harrah's was way more accessible than Hell's Kitchen and, at least for beef wellington, were serving dishes of the same quality.",a month ago
Jaimee, 4 stars ,Get the STICKY TOFFEE PUDDING😊 …,a month ago
Alissa Jones, 3 stars ,"My husband and I had a 8:30 dinner reservation last night. When we arrived, my husband had checked in with the front desk hostess and we’re told that we’d be seated shortly. We had waited for about 45 min before we were seated because they had actually forgotten about us (we were standing in plain sight near the entrance). In that time, we saw other parties get seated who showed up later than us. In that same timeframe, a hostess approached us twice to confirm the name the reservation was under. About 30 min in, my husband had to go to the front desk hostess again to ask what happened and they had indeed forgot us and had to scramble to find a table.

The food we waited for was this place’s saving grace - the bartenders and kitchen did an amazing job with our drinks and our entrees. We loved the beef Wellington and the sticky toffee dessert. Just know that it weren’t for the Ramsay’s overall reputation, we probably would’ve left.",a month ago
Thomas Harlson, 5 stars ,Everyone was cordial and approachable. The server made suggestions that showed how she felt about the dishes. The server was ever present but not intrusive. Our party enjoyed the entres and the sides. The sides are are sharable and tasty.,a month ago
FunkyBadChad, 5 stars ,Ramsay’s kitchen was phenomenal. I felt like I was in the Wynn supreme high end ambience and Harrahs itself is newly remodeled. Our server Taylor was excellent and contributed to an amazing experience. The food was ridiculous I had the filet with scallops and it lived up to every expectation. It’s not on the menu but they had Jordan Cabernet which is my go to red wine. I highly recommend this spot for a unique Gordon Ramsey experience and don’t forget to try ALL the pastries made by Chef Liz.,a month ago
James VanderWier, 5 stars ,"Ramsay's Kitchen was a great dinner visit for our anniversary.  From reception to all the people that helped with service, we were given great attitudes and smiles.  We never waited long for any request. The food was grate with the stand out being the acorn squash risotto.  Also a good bar and wine selection and great atmosphere for a couples night out.",a month ago
Elizabeth Creutzer, 5 stars ,"Went here for lunch. Beautiful restaurant. The food was amazing! So delicious! The staff were amazing too! Our waitress Dana was so personable, knowledgeable, and attentive!
Best dining experience of my life. Highly, highly highly recommend !!!",a month ago
Z, 4 stars ,"Great food , atmosphere is ok if you get a table , not so good at the bar , had the scallops and enjoyed them , the pork belly really added flavor , unfortunately the service was poor at the bar , never came back once for refills or second drinks , thank you !",a month ago
Deneen Klusman, 5 stars ,"The meal at Ramsey’s Kitchen was amazing. My husband and I got an entree each and shared. The 24 oz ribeye is the best steak I’ve ever tasted. The scallops were cooked perfectly. The potato purée was delicious and plenty for two people. The service was terrific. The drinks from the bar were excellent. The deserts were great, too. It was a great experience from beginning to end. I would suggest a reservation (we didn’t have to wait).",a month ago
keith viveiros, 5 stars ,"To start, our servers Victoria and Remy were spectacular.  Everything we ordered was expertly prepared and delicious. This is a long experience if you're doing all the courses; over two hours for us.  If you do just one course you can get out in an hour, but please don't.  Ramsay's Kitchen, only open three months now, is an experience to be savored.  I recommend you make reservations.",a month ago
Galdino Davila, 5 stars ,"Desert is spectacular, food is great, just shy of out of this world. Service is fantastic.",a month ago
leon g, 5 stars ,"This place just opened in November but is now one of our favorite restaurants. The décor is modern, the lighting is excellent, the staff is attentive but not overbearing AND, most importantly, the food is amazing.  We had to go back two days later to try other dishes.  I had Beef Wellington - awesome. My wife had the rib-eye with shrimp, also awesome.  On our second visit we had the crispy skin salmon - done to perfection and me, Beef Wellington - again. Can't get that dish, so perfectly done in other places. It definitely is not (""it's f_______ raw"").  Also recommend the beet salad appetizer.  The manager (Yasmini) is really on top of things, ensuring total customer satisfaction. His desert recommendation, Sticky Toffee Pudding and an espresso, hit the spot perfectly to end an awesome night out. I appreciate professionalism and awesome customer service. Thank you.",a month ago
Josh R, 5 stars ,"First time visiting this new Gordon Ramsay restaurant and definitely won't be the last!

Our waiter Brandon was an absolute delight, Alberto is just the best, and the management team was nothing short of amazing. Best dining experience we have had in Vegas in a very long time.

Amazing drinks. Amazing food. Amazing ambience. Amazing service.",a month ago
Josh O'Bannon, 5 stars ,"What an amazing experience!  From cocktails to appitzers through the main course to desert, everything was SPOT ON!  I cannot suggest anything to make it better.  Everything was cooked perfectly!  The French onion soup was unbelievable, the beef carpaccio was decadent, steaks were cooked perfect all the way through, the sides were flavorful, the deserts were not too sweet and amazing!  I will admit that I watch Hell’s Kitchen EVERY MORNING when I wake up.  But I tried to not let that play into my experience.  In all honesty, I was probably more aware and critical than if I had not watched the show.  It met every expectation and some.  I don’t think I have had a better experience in some time.  And I was at the Golden Steer and triple George the last two nights, so it’s not like I’m comparing this to In-N-Out!  The wine list was well put together, cocktails were spot on, just overall the best I’ve had in a long time!  ‘Content’ with this years Vegas trip is an understatement…. We’ll done Gordon Ramsey, well done.  And cheers to Autum, our waitress, she was solid.  She knows the menu, has a great personality and is clearly a seasoned professional.  I wish there was something I could criticize, but I’m coming up short trying to find something…. Ok, the only think I can think of is the fact that it pretty much died down by 9:30PM.  It would have been so fun to see the music get louder and another crowd come in for the late shift!  I know, I get it, that’s not your intent.  Thank you, Gordon.",a month ago
Marina Gomez, 5 stars ,"The start was a bit rocky...But definitely made up for it Taylor and Samantha were amazing I had the crispy scin salmon 😋 huvvy had the filled 😋 unreal. Tuna tartar with house mad chillie oil was fantastic. The mushrooms are unforgettable. Because of the rocky start they comped our dessert which was the best dessert I ever had. It was light refreshing citric. I do not like sweets and after the crispy skin salmon it hit the spot.
Thank you!",a month ago
